prod_id,usage_count
D0001,76163
D0002,65822
D0003,43557
D0004,29790
D0011,28594
C0001,18246
N0002,13180
P0001,8788
D0006,8310
N0001,7830
C0007,7038
C0003,5982
C0035,3043
C0012,2022
C0011,1488
D0007,1100
C0004,940
C0017,839
C0008,739
C0018,585
C0010,513
C0009,500
N0004,476
D0005,447
C0021,372
P0003,338
C0002,338
C0016,306
A0150,298
C0014,254
A0161,230
C0005,221
C0006,215
C0019,209
A0148,171
A0160,166
C0020,162
A0159,151
A0149,146
A0162,139
C0025,124
A0013,115
A0009,115
A0008,110
A0158,109
A0147,107
P0002,97
A0151,93
C0028,92
A0118,82
A0006,73
A0120,71
A0113,71
C0024,64
A0001,63
D0009,63
C0015,63
A0102,60
A0170,57
A0050,55
A0061,55
A0168,54
C0022,51
A0133,51
A0106,48
A0011,46
A0002,45
D0008,45
A0107,44
A0157,44
A0153,43
C0037,43
A0075,42
A0156,41
A0167,37
A0007,36
A0051,36
A0142,35
A0112,33
D0010,32
A0093,32
A0073,32
A0117,32
A0114,31
A0005,29
A0146,29
A0155,29
A0108,27
A0101,27
A0064,27
C0039,27
A0152,26
A0143,26
C0027,26
A0105,25
C0030,24
A0136,23
A0010,23
A0110,22
A0145,20
A0070,20
A0115,20
A0078,20
A0067,19
D0013,19
A0062,18
A0111,18
C0041,17
A0069,16
A0076,16
A0004,16
A0019,16
A0034,16
A0057,16
A0109,16
A0066,16
A0049,15
A0129,15
A0033,15
A0077,14
C0013,14
N0003,13
A0095,13
A0164,13
C0026,13
A0163,12
A0068,12
A0081,12
A0065,12
A0027,12
A0012,12
C0034,11
A0099,11
A0169,11
A0060,11
A0054,11
A0042,10
A0035,10
A0072,10
A0122,10
A0024,10
A0087,10
A0036,10
C0023,10
A0123,10
A0089,10
C0043,9
A0074,9
A0138,9
A0130,9
A0055,9
A0056,9
A0177,8
A0043,8
A0079,8
A0173,8
A0058,8
C0038,8
C0031,8
A0178,7
A0045,7
A0104,7
A0103,7
A0083,7
A0128,6
A0100,6
A0098,6
A0059,6
A0032,6
A0047,6
A0126,6
A0144,6
A0131,6
A0125,6
A0052,6
A0176,6
A0082,6
A0119,5
A0041,5
A0039,5
A0175,5
A0094,5
A0071,5
A0053,5
A0022,5
A0029,5
A0088,5
A0020,5
A0017,5
A0003,5
A0046,5
A0018,5
A0096,5
C0036,5
C0029,5
A0016,4
A0028,4
A0139,4
A0026,4
A0023,4
A0044,4
A0086,4
A0084,4
A0030,4
D0012,4
A0121,3
A0191,3
A0141,3
A0190,3
A0140,3
A0166,3
A0116,3
A0097,3
A0171,3
A0031,3
A0092,3
D0014,3
A0037,3
A0186,3
A0091,3
C0044,3
C0042,3
A0038,3
A0184,2
A0183,2
A0165,2
A0180,2
A0182,2
A0185,2
A0014,2
A0188,2
A0124,2
A0048,2
A0174,2
A0040,2
A0179,2
A0189,2
A0080,2
A0135,2
A0015,2
A0090,2
C0032,2
A0063,2
A0132,1
A0192,1
A0085,1
A0154,1
A0127,1
A0181,1
A0021,1
A0187,1
A0172,1
A0025,1
A0134,1
C0040,1
C0033,1
C0045,1
A0137,1
